code,borough,No,population,toilets_No,toilets_per_1000_pop,borough_IMD,Income,Employment,Education,Disability,Crime,Service,Environment
E09000001,City of London,1,9721,111,11.41857834,20792.75,21817.75,21717,26107.5,24331.25,31468.25,5850,8587
E09000002,Barking and Dagenham,2,212906,18,0.084544353,7280.299065,7692.345794,10644.1215,10909.01869,13098.08411,9260.214953,1248.364486,9840.728972
E09000003,Barnet,3,395869,39,0.098517439,19334.17703,17078.05742,19971.4067,25080.15789,27845.2488,15386.91866,7710.5311,12837.49282
E09000004,Bexley,4,248287,42,0.169159078,19758.36552,18658.43448,19822.45517,16017.98621,23565.18621,18570.35172,12522.24828,15903.97241
E09000005,Brent,5,329771,36,0.109166664,12141.88554,11600.08434,15422.60241,18884.43976,22311.98795,11075.77711,2320.313253,10268.90964
E09000006,Bromley,6,332336,97,0.291873285,21821.89637,20974.70984,21948.32642,23138.28497,26437.56995,17082.11917,10026.60622,17260.51813
E09000007,Camden,7,270029,77,0.285154557,16247.74436,14359.13534,16855.2406,22651.52632,22073.94737,12468.40602,15142.84962,8001.526316
E09000008,Croydon,8,386710,64,0.165498694,14980.9863,14740.37443,16624.0274,18771.85388,18748.11872,13158.91781,6042.333333,12883.06393
E09000009,Ealing,9,341806,33,0.096545994,14076.57513,13524.16062,16225.15026,20977.01036,20598.94301,13500.41969,5005.974093,9124.056995
E09000010,Enfield,10,333794,41,0.122830249,12875.65169,11380.14045,14750.28652,16418.83708,23095.9382,13895.25843,3588.730337,10919.04494
E09000011,Greenwich,11,287942,37,0.1284981,12299.13178,11281.47287,13152.5814,17825.62016,16307.78295,9956.178295,7308.503876,12447.42636
E09000012,Hackney,12,281120,16,0.056915196,7393.5625,7605.75,10843.77344,18836.58594,10966.22656,8732.515625,1746.492188,7207.484375
E09000013,Hammersmith and Fulham,13,185143,25,0.13503076,14201.36364,13775.58182,15834.79091,24530.27273,16717.26364,11435.50909,9253.772727,6883.245455
E09000014,Haringey,14,268647,31,0.115393062,11406.69718,11466.43662,14230.78169,18429.60563,18047.87324,7590.626761,5063.43662,7021.070423
E09000015,Harrow,15,251160,20,0.079630514,19919.78677,16782.38971,21022.95588,24459.18382,28075.13235,18640.54412,5615.867647,16501.43382
E09000016,Havering,16,259552,26,0.100172605,19245.77027,18122.39189,19265.21622,13745.27027,23226.50676,15266.13514,14852.52027,18470.05405
E09000017,Hillingdon,17,306870,40,0.130348356,17651.68354,16471.76582,18921.32911,18209.94304,21268.33544,13738.91772,9390.803797,16061.85443
E09000018,Hounslow,18,271523,118,0.434585652,14412.58519,14243.08148,17809.8963,20270.2963,19968.3037,11693.45185,5173.222222,9869.822222
E09000019,Islington,19,242467,28,0.115479632,9986.622807,8950.570175,11433.26316,20338.2193,12099.01754,7758.149123,9094.701754,7064.745614
E09000020,Kensington and Chelsea,20,156129,32,0.20495872,15419.33981,18563.56311,19982.93204,27356.68932,25599.06796,11929.79612,4270.15534,4198.495146
E09000021,Kingston upon Thames,21,177507,32,0.180274581,23524.625,21431.5625,23961.98958,25755.55208,27274.82292,21195.88542,12327.91667,12971.47917
E09000022,Lambeth,22,326034,87,0.266843335,11325.62857,11609.97143,14852.58286,21917.97714,13981.03429,9471.828571,8604.497143,4042.782857
E09000023,Lewisham,23,305842,67,0.219067362,10918.84375,10478.49375,13030.44375,19304.7125,15169.6375,11174.21875,5157.16875,6866.3625
E09000024,Merton,24,206548,30,0.145244689,20967.60484,19170.03226,22137.35484,23989.3871,23786.92742,17348.04032,15129.79839,9856.048387
E09000025,Newham,25,353134,44,0.124598594,8369.576159,8862.271523,13663.03311,15020.76159,16368.72185,10253.81457,499.4238411,8683.562914
E09000026,Redbridge,26,305222,34,0.111394329,18199.57692,15611.55128,19744.80128,21853.85256,25521.60256,12666.44231,9956.961538,12285.33974
E09000027,Richmond upon Thames,27,198019,91,0.459551861,25802.61062,24242.38938,25246.87611,29401.69912,29557.00885,17417.9469,20277.51327,11139.50442
E09000028,Southwark,28,318830,51,0.159959853,11256.22876,10973.21569,13873.80392,21292.70588,14338.80392,9868.45098,6032.581699,7069.581699
E09000029,Sutton,29,206349,35,0.169615554,21541.31667,19716.95833,21003.475,21561.16667,23282.85,18765.89167,14481.29167,15048.05833
E09000030,Tower Hamlets,30,324745,36,0.11085621,9242.6,7746.766667,12244.38333,16421.79167,12572.00833,8367.391667,7415.85,8240.758333
E09000031,Waltham Forest,31,276983,59,0.213009463,11783.5035,11811.8042,15151.35664,16688.94406,18449.12587,10799.16783,4314.426573,7429.853147
E09000032,Wandsworth,32,329677,50,0.151663598,18727.27485,17795.5614,21549.83626,26171.52632,21118.44444,14790.99415,10933.5848,8470.461988
E09000033,Westminster,33,261317,111,0.424771446,17260.9,17380.92727,19489.69091,25081.22727,24569.2,15446.70909,13911.99091,4880.545455